original_path	source_branch	source_branch_sha
full_aod_diag/d4_exact/hessian_syrk.jl	diag/compressed-hessian-operator-audit-2026-07-25	3fceb71d06b9b6ede450f44c7cdcae6aa3fcc87d
full_aod_diag/d4_exact/validate_winner_pair_hessian_d20.jl	diag/compressed-hessian-operator-audit-2026-07-25	3fceb71d06b9b6ede450f44c7cdcae6aa3fcc87d
full_aod_diag/d4_exact/validate_winner_pair_hessian_d4.jl	diag/compressed-hessian-operator-audit-2026-07-25	3fceb71d06b9b6ede450f44c7cdcae6aa3fcc87d
full_aod_diag/d4_exact/winner_pair_hessian.jl	diag/compressed-hessian-operator-audit-2026-07-25	3fceb71d06b9b6ede450f44c7cdcae6aa3fcc87d
full_aod_diag/d4_exact/winner_pair_hessian_parallel.jl	diag/compressed-hessian-operator-audit-2026-07-25	3fceb71d06b9b6ede450f44c7cdcae6aa3fcc87d
full_aod_diag/d4_exact/winner_pair_hessian_parallel_wiring.jl	diag/compressed-hessian-operator-audit-2026-07-25	3fceb71d06b9b6ede450f44c7cdcae6aa3fcc87d
full_aod_diag/d4_exact/winner_pair_hessian_threaded.jl	diag/compressed-hessian-operator-audit-2026-07-25	3fceb71d06b9b6ede450f44c7cdcae6aa3fcc87d
full_aod_diag/d4_exact/winner_pair_hessian_threaded_nomacro.jl	diag/compressed-hessian-operator-audit-2026-07-25	3fceb71d06b9b6ede450f44c7cdcae6aa3fcc87d
full_aod_diag/d4_exact/winner_pair_hessian_wiring.jl	diag/compressed-hessian-operator-audit-2026-07-25	3fceb71d06b9b6ede450f44c7cdcae6aa3fcc87d
full_aod_diag/d4_exact/c_bench_threaded_hessian_live_solve.jl	diag/fullA-inner-blas-threading	ecc820d86c09c0ab4bbcf5501c6a295662b69368
full_aod_diag/d4_exact/hzz_backend_direct_bakeoff_2026-07-29.jl	diagnose-optimize/HZZ-BLAS-and-HCZ-prep-2026-07-29	44f5b17a3d2d40aedb85b644ec6d78b776dcdf64
full_aod_diag/d4_exact/hzz_isolated_correctness_2026-07-29.jl	diagnose-optimize/HZZ-BLAS-and-HCZ-prep-2026-07-29	44f5b17a3d2d40aedb85b644ec6d78b776dcdf64
full_aod_diag/d4_exact/hzz_meanzc_direct_blas_vs_ref_2026-07-29.jl	diagnose-optimize/HZZ-BLAS-and-HCZ-prep-2026-07-29	44f5b17a3d2d40aedb85b644ec6d78b776dcdf64
full_aod_diag/d4_exact/hzz_meanzc_exact_w0_blas_vs_ref_2026-07-29.jl	diagnose-optimize/HZZ-BLAS-and-HCZ-prep-2026-07-29	44f5b17a3d2d40aedb85b644ec6d78b776dcdf64
full_aod_diag/d4_exact/hzz_originzc_direct_blas_vs_ref_2026-07-29.jl	diagnose-optimize/HZZ-BLAS-and-HCZ-prep-2026-07-29	44f5b17a3d2d40aedb85b644ec6d78b776dcdf64
full_aod_diag/d4_exact/hzz_hessian_repeat_bench_2026-07-29.jl	diagnose-optimize/HZZ-BLAS-thread-sweep-2026-07-29	9e3b3d459cf6c47b62a08c2063a9d52aa97aca41
full_aod_diag/d4_exact/hzz_thread_sweep_worker_2026-07-29.jl	diagnose-optimize/HZZ-BLAS-thread-sweep-2026-07-29	9e3b3d459cf6c47b62a08c2063a9d52aa97aca41
scripts/melitz_profiled_envelope_contraction_check_2026-07-31.jl	experiment/melitz-profiled-q-envelope-gradient-2026-07-31	c63e7870a39397fcea52df1468502dfcbef2bb30
scripts/melitz_profiled_envelope_d4_gscan_2026-07-31.jl	experiment/melitz-profiled-q-envelope-gradient-2026-07-31	c63e7870a39397fcea52df1468502dfcbef2bb30
scripts/melitz_profiled_envelope_ellcheck_2026-07-31.jl	experiment/melitz-profiled-q-envelope-gradient-2026-07-31	c63e7870a39397fcea52df1468502dfcbef2bb30
scripts/melitz_profiled_envelope_gbug_2026-07-31.jl	experiment/melitz-profiled-q-envelope-gradient-2026-07-31	c63e7870a39397fcea52df1468502dfcbef2bb30
scripts/melitz_profiled_envelope_gdiag_2026-07-31.jl	experiment/melitz-profiled-q-envelope-gradient-2026-07-31	c63e7870a39397fcea52df1468502dfcbef2bb30
